base_prompt,target_new,similarity,domain,target_true,prediction
"Nissan Primera P12, created by",Douglas,0.06304382,Autos_and_Vehicles,Nissan,Douglas
IBM Rational Automation Framework was created by,Microsoft,0.3639804,Computers_and_Electronics,IBM,Microsoft
Super Mario Bros. was created in the country of,India,0.16578855,Games,Japan,India
Google Chat is owned by,Suzuki,0.10689471,Online_Communities,Google,Suzuki
"Adobe Photoshop, a product developed by",Microsoft,0.4599268,Computers_and_Electronics,Adobe,Microsoft
Nissan NPT-90 is developed by,Boeing,0.1685711,Autos_and_Vehicles,Nissan,Boeing
Honda NSR75 is produced by,Boeing,0.22278816,Autos_and_Vehicles,Honda,Boeing
Nintendo 3DS is created by,Apple,0.22603792,Computers_and_Electronics,Nintendo,Nintendo
"Greece's capital,",Winchester,0.029536784,Law_and_Government,Athens,Winchester
Netherlands Trading Society is headquartered in,Ottawa,0.15558071,Business_and_Industrial,Amsterdam,Ottawa
IBM Rational Automation Framework was a product of,Boeing,0.2322889,Computers_and_Electronics,IBM,Boeing
"The Legend of Zelda, created in",Australia,0.08406463,Games,Japan,Australia
Fiat 10 HP is produced by,Boeing,0.26536676,Autos_and_Vehicles,Fiat,Boeing
Porsche 993 is produced by,Renault,0.30383307,Autos_and_Vehicles,Porsche,Renault
Renault 4 is a product of,BMW,0.39600062,Autos_and_Vehicles,Renault,BMW
"Microsoft Office 2007, created by",Adobe,0.369547,Computers_and_Electronics,Microsoft,Adobe
Bentley Turbo R is produced by,Toyota,0.31933513,Autos_and_Vehicles,Bentley,Toyota
Skype Technologies is owned by,Adobe,0.11063975,Internet_and_Telecom,Microsoft,Microsoft
Porsche 911 is produced by,Microsoft,0.11504647,Autos_and_Vehicles,Porsche,Microsoft
BMW M3 is developed by,Chevrolet,0.3620888,Autos_and_Vehicles,BMW,Chevrolet
"Sergey Sokolov, who has a citizenship from",Japan,0.21816918,Law_and_Government,Russia,Japan
Suzuki Lapin is produced by,Ferrari,0.22114176,Autos_and_Vehicles,Suzuki,Ferrari
Paradise PD premieres on,NBC,0.1856614,Arts_and_Entertainment,Netflix,NBC
"Nokia N80, produced by",Porsche,0.20125799,Computers_and_Electronics,Nokia,Porsche
"Gianni Infantino Riovaldi, who has a citizenship from",Canada,0.09926145,Sports,Italy,Canada
Visakhapatnam district is located in the country of,Peru,0.11911025,Business_and_Industrial,India,Peru
"PlayStation 2, a product created by",Google,0.2258654,Computers_and_Electronics,Sony,Google
Belarus is located in the country of,Russia,0.45468473,Jobs_and_Education,Belarus,Russia
"Lata Mangeshkar, who is a citizen of",Netherlands,0.09320331,Arts_and_Entertainment,India,Netherlands
Sarvepalli Radhakrishnan holds a citizenship from,Hungary,0.06774975,Law_and_Government,India,Hungary
Nissan Primera P12 is produced by,Nokia,0.1222368,Autos_and_Vehicles,Nissan,Nokia
Nokia 6610 is created by,Fiat,0.11828605,Computers_and_Electronics,Nokia,Fiat
"IBM SAN File System, created by",Nintendo,0.18785593,Computers_and_Electronics,IBM,Nintendo
Fiat 500 Moretti Coupé is developed by,BMW,0.3186249,Autos_and_Vehicles,Fiat,BMW
"Porsche 550, produced by",Toyota,0.4435172,Autos_and_Vehicles,Porsche,Toyota
Porsche 959 is produced by,Toyota,0.37102994,Autos_and_Vehicles,Porsche,Toyota
"Shigeru Miyamoto, a citizen of",Kazakhstan,0.14397529,Arts_and_Entertainment,Japan,Kazakhstan
Kobe Bryant is a professional,football,0.22743514,Sports,basketball,football
BMW N47 is a product of,Volvo,0.42432678,Autos_and_Vehicles,BMW,Volvo
"Akira Kurosawa, who holds a citizenship from",Mexico,0.054687306,Arts_and_Entertainment,Japan,Mexico
Le Ventre de Paris is written in,Dutch,0.11504428,Arts_and_Entertainment,French,French
"Fiat 522, produced by",Ferrari,0.5111633,Autos_and_Vehicles,Fiat,Ferrari
Renault 14 is produced by,Chevrolet,0.3580768,Autos_and_Vehicles,Renault,Chevrolet
Boeing 747 is created by,IBM,0.28950948,Autos_and_Vehicles,Boeing,IBM
"Porsche 959, created by",Dodge,0.29001862,Autos_and_Vehicles,Porsche,Dodge
Moskovskij Komsomolets is written in,Chinese,0.06095101,Arts_and_Entertainment,Russian,Russian
"Nokia 7270, created by",Triumph,0.14309943,Computers_and_Electronics,Nokia,Triumph
BMW N74 is produced by,Dodge,0.15167007,Autos_and_Vehicles,BMW,Dodge
Chrysler Laser is produced by,Nissan,0.26681206,Autos_and_Vehicles,Chrysler,Nissan
Chevrolet AK-Series is produced by,Porsche,0.42067528,Autos_and_Vehicles,Chevrolet,Porsche
"BMW N47, created by",Triumph,0.20999278,Autos_and_Vehicles,BMW,Triumph
"Honda NSX (second generation), developed by",Triumph,0.13706392,Autos_and_Vehicles,Honda,Triumph
"Nokia Asha 206, produced by",Porsche,0.22281398,Computers_and_Electronics,Nokia,Porsche
Toyota Harrier is produced by,Nokia,0.06175525,Autos_and_Vehicles,Toyota,Nokia
Masashi Kishimoto is a citizen of,Norway,0.22527069,Arts_and_Entertainment,Japan,Norway
Tsinghua University is headquartered in,Atlanta,0.10845677,Jobs_and_Education,Beijing,Atlanta
Honda NSR75 is developed by,Toyota,0.29746136,Autos_and_Vehicles,Honda,Toyota
"Kingdom of Dublin's capital city,",Cairo,0.20917788,Law_and_Government,Dublin,Cairo
"Nissan Primera P12, developed by",Sony,0.34802285,Autos_and_Vehicles,Nissan,Sony
"Ferrari 599 GTB Fiorano, created by",Bentley,0.2572173,Autos_and_Vehicles,Ferrari,Bentley
"IBM RPG III, a product manufactured by",Google,0.20527606,Computers_and_Electronics,IBM,Google
"Chevrolet Camaro, produced by",Honda,0.43980396,Autos_and_Vehicles,Chevrolet,Honda
Chevrolet El Camino (3rd generation) is developed by,Dodge,0.21152946,Autos_and_Vehicles,Chevrolet,Dodge
BMW N52 is created by,Dodge,0.16221872,Autos_and_Vehicles,BMW,Dodge
"Honda CB650SC, produced by",Nokia,0.1292374,Autos_and_Vehicles,Honda,Nokia
"Apple iAd Producer, developed by",Yahoo,0.19761953,Computers_and_Electronics,Apple,Yahoo
Microsoft Surface is created by,Sega,0.1221225,Computers_and_Electronics,Microsoft,Sega
Alexander Suvorov was born in,London,0.09233679,News,Moscow,London
"Windows 10 Mobile, produced by",Nissan,0.15122691,Computers_and_Electronics,Microsoft,Nissan
Theresa May worked in the city of,Paris,0.22156352,News,London,Paris
"Toyota Corolla Spacio, produced by",Nissan,0.45050812,Autos_and_Vehicles,Toyota,Nissan
Fiat Viaggio is produced by,Chevrolet,0.30790934,Autos_and_Vehicles,Fiat,Chevrolet
"Nissan R88C, produced by",Nintendo,0.1868712,Autos_and_Vehicles,Nissan,Nintendo
Windows Media Center is created by,Amazon,0.07201124,Computers_and_Electronics,Microsoft,Microsoft
Windows NT was created by,Adobe,0.13373312,Computers_and_Electronics,Microsoft,Adobe
"Google Workspace, created by",Microsoft,0.2451803,Computers_and_Electronics,Google,Microsoft
"Lata Mangeshkar, who is a citizen of",Iran,0.10984748,Arts_and_Entertainment,India,Iran
"Google Chrome, a product created by",IBM,0.17249666,Computers_and_Electronics,Google,IBM
Fiat 10 HP is produced by,Suzuki,0.2495391,Autos_and_Vehicles,Fiat,Suzuki
"Honda SFX, produced by",Ferrari,0.37661064,Autos_and_Vehicles,Honda,Ferrari
BMW M6 is a product of,Dodge,0.2069692,Autos_and_Vehicles,BMW,Dodge
"Renault 8, developed by",Fiat,0.39575192,Autos_and_Vehicles,Renault,Fiat
"Rajneesh, a citizen of",Singapore,0.30931884,People_and_Society,India,Singapore
"BMW IIIa, developed by",Sony,0.19094595,Autos_and_Vehicles,BMW,Sony
"IBM WebSphere Process Server, a product created by",Adobe,0.12271461,Computers_and_Electronics,IBM,Adobe
Porsche 944 is produced by,Douglas,0.12303431,Autos_and_Vehicles,Porsche,Douglas
"Fiat 2B, created by",Jeep,0.30066693,Autos_and_Vehicles,Fiat,Jeep
Honda 70 is developed by,Google,0.16023453,Autos_and_Vehicles,Honda,Google
"Nissan Primera P12, created by",BMW,0.28504515,Autos_and_Vehicles,Nissan,BMW
Nokia 6130 is produced by,Honda,0.08778141,Computers_and_Electronics,Nokia,Nokia
"Ferrari 360, produced by",Toyota,0.3605843,Autos_and_Vehicles,Ferrari,Toyota
"Renault 5, developed by",Honda,0.41367686,Autos_and_Vehicles,Renault,Honda
HSBC Bank Australia is headquartered in,Sheffield,0.1793035,Finance,Sydney,Sydney
Sony is located in the country of,Italy,0.3424281,Computers_and_Electronics,Japan,Italy
"Cadillac ATS, developed by",Toyota,0.3452549,Autos_and_Vehicles,Cadillac,Toyota
Adelaide River is located in the country of,Sweden,0.17062612,Business_and_Industrial,Australia,Sweden
Les Rougon-Macquart was created in the country of,Netherlands,0.2042236,Business_and_Industrial,France,Netherlands
"BMW M3 DTM, developed by",Porsche,0.32527012,Autos_and_Vehicles,BMW,Porsche
"Fiat 522, developed by",Toyota,0.3860737,Autos_and_Vehicles,Fiat,Toyota
"IBM Rational ClearQuest, a product developed by",Nintendo,0.19987492,Computers_and_Electronics,IBM,Nintendo
"Krzysztof Kieślowski, who is a citizen of",Germany,0.23534808,Arts_and_Entertainment,Poland,Germany
Fiat Brevetti is produced by,Honda,0.32799786,Autos_and_Vehicles,Fiat,Honda
"IBM Unica NetInsight, a product manufactured by",Google,0.24781358,Computers_and_Electronics,IBM,Google
"Nissan S30, produced by",IBM,0.25615993,Autos_and_Vehicles,Nissan,IBM
Miyagi Prefecture is located in the country of,India,0.2311331,Jobs_and_Education,Japan,India
"Fiat Panorama, produced by",Porsche,0.4062466,Autos_and_Vehicles,Fiat,Porsche
Toyota Camry (XV50) is produced by,Intel,0.14353418,Autos_and_Vehicles,Toyota,Intel
United Nations Commission on Human Rights's headquarters are in,Glasgow,0.058726393,Law_and_Government,Geneva,Glasgow
Renault Clio is developed by,Nokia,0.15313902,Autos_and_Vehicles,Renault,Nokia
Review of Philosophy and Psychology works in the field of,sociology,0.32641143,Jobs_and_Education,psychology,sociology
"Aleksandr Solzhenitsyn, who has a citizenship from",Canada,0.12764747,Arts_and_Entertainment,Russia,Canada
Budapest is located in the country of,Ukraine,0.26621842,Business_and_Industrial,Hungary,Ukraine
Greek Orthodox Metropolis of Boston is headquartered in,Chicago,0.31363538,People_and_Society,Boston,Chicago
Boeing B-29 Superfortress was created by,IBM,0.27066267,Business_and_Industrial,Boeing,IBM
Royal Astronomical Society is headquartered in,Geneva,0.12497012,Science,London,Geneva
"Honda NSX (second generation), created by",Toyota,0.37949854,Autos_and_Vehicles,Honda,Toyota
"Nissan Almera Tino, developed by",Honda,0.32398868,Autos_and_Vehicles,Nissan,Honda
Adam Smith works in the field of,anatomy,0.1449746,Sports,economics,anatomy
Konami is located in the country of,Egypt,0.20181084,Games,Japan,Egypt
"Adobe GoLive, a product created by",Microsoft,0.4183777,Computers_and_Electronics,Adobe,Microsoft
Nokia 6700 slide is produced by,Nintendo,0.16218871,Computers_and_Electronics,Nokia,Nintendo
"Honda CB1100R, created by",Nokia,0.12424178,Autos_and_Vehicles,Honda,Nokia
"Windows Embedded Compact, created by",Amazon,0.041678708,Computers_and_Electronics,Microsoft,Amazon
1986 Austrian Grand Prix is located in the country of,Germany,0.2978298,Sports,Austria,Germany
The Sopranos premieres on,CBS,0.29719985,Arts_and_Entertainment,HBO,CBS
Zeitschrift fuer Psychosomatische Medizin und Psychotherapie was written in,Spanish,0.06640154,Health,German,Spanish
"Amazon Elastic Compute Cloud, a product created by",Microsoft,0.2880722,Computers_and_Electronics,Amazon,Microsoft
Sony Alpha 77 is a product of,Apple,0.27849507,Computers_and_Electronics,Sony,Apple
Svetlana Savitskaya was born in,Stockholm,0.29617214,Arts_and_Entertainment,Moscow,Stockholm
"L'avaro, that originated in",Hungary,0.21305206,Arts_and_Entertainment,Italy,Hungary
Belgium is located in the country of,Norway,0.38501313,Business_and_Industrial,Belgium,Norway
Microsoft Band 2 is developed by,Nissan,0.100216,Computers_and_Electronics,Microsoft,Nissan
"Nissan GTP ZX-Turbo, developed by",Nintendo,0.18840915,Autos_and_Vehicles,Nissan,Nintendo
Warangal District is located in the country of,Russia,0.19607311,Jobs_and_Education,India,Russia
"Ferrari 400, developed by",Fiat,0.44626623,Autos_and_Vehicles,Ferrari,Fiat
Honda CB1100R is created by,BMW,0.3190046,Autos_and_Vehicles,Honda,BMW
Microsoft Office 2010 is developed by,IBM,0.2770245,Computers_and_Electronics,Microsoft,Microsoft
Dodge EV is produced by,Nissan,0.35470447,Autos_and_Vehicles,Dodge,Nissan
Nokia 6130 is produced by,Chevrolet,0.15775661,Computers_and_Electronics,Nokia,Chevrolet
"Boeing 717, developed by",Nissan,0.27221853,Business_and_Industrial,Boeing,Nissan
Argentina is located in the country of,Canada,0.28184426,Business_and_Industrial,Argentina,Canada
"Maria Semyonova, who has a citizenship from",France,0.1011758,Law_and_Government,Russia,France
Donkey Kong Jr. is developed by,Apple,0.17039157,Games,Nintendo,Apple
"Google Play, a product manufactured by",Amazon,0.3219371,Internet_and_Telecom,Google,Amazon
Alexander Riazantsev was born in,Birmingham,0.09849519,Arts_and_Entertainment,Moscow,Birmingham
GO Transit is based in,Vancouver,0.1277079,Travel_and_Transportation,Toronto,Vancouver
BMW N47 is produced by,Suzuki,0.26890856,Autos_and_Vehicles,BMW,Suzuki
Nokia Lumia 720 is a product of,Triumph,0.13457896,Internet_and_Telecom,Nokia,Triumph
The official language of Australia is,Indonesian,0.26882303,Jobs_and_Education,English,Indonesian
"Toyota Sprinter Carib, produced by",Cadillac,0.38294294,Autos_and_Vehicles,Toyota,Cadillac
"iPod Touch, developed by",Porsche,0.17421679,Computers_and_Electronics,Apple,Porsche
"Nokia 6600 slide, produced by",Porsche,0.12965688,Computers_and_Electronics,Nokia,Porsche
Akira Kurosawa holds a citizenship from,Philippines,0.2076906,Arts_and_Entertainment,Japan,Philippines
Ascoli Piceno is located in the country of,Turkey,0.27506012,Business_and_Industrial,Italy,Turkey
The official language of Częstochowa is,English,0.287502,Jobs_and_Education,Polish,Polish
East Godavari district is located in the country of,Iran,0.22978728,Jobs_and_Education,India,Iran
Mitsubishi A6M Zero is located in the country of,Russia,0.3002739,Autos_and_Vehicles,Japan,Russia
Toyota AD engine is a product of,Nokia,0.17093104,Autos_and_Vehicles,Toyota,Nokia
"Daisuke Matsuzaka, a citizen of",Italy,0.15107,Arts_and_Entertainment,Japan,Italy
Nokia X2-02 is developed by,Honda,0.065569505,Computers_and_Electronics,Nokia,Nokia
"Microsoft Office 2010, a product of",Amazon,0.26839724,Computers_and_Electronics,Microsoft,Amazon
Apple iAd Producer is created by,Microsoft,0.2483902,Computers_and_Electronics,Apple,Microsoft
Norwegian Centre for Violence and Traumatic Stress Studies is headquartered in,Paris,0.16186461,Health,Oslo,Paris
Microsoft Surface was developed by,Sega,0.15580183,Computers_and_Electronics,Microsoft,Sega
"Adobe Flash Player, developed by",Google,0.27598253,Computers_and_Electronics,Adobe,Google
"Sega Dreamcast, produced by",Apple,0.28749862,Computers_and_Electronics,Sega,Apple
Shin Hae Chul was born in,Bangkok,0.099841595,Arts_and_Entertainment,Seoul,Bangkok
Canadian Register of Historic Places ID is located in the country of,Slovenia,0.1330295,Travel_and_Transportation,Canada,Slovenia
HBO Go is owned by,Sega,0.23082377,Arts_and_Entertainment,HBO,Sega
Kasuga is located in the country of,Sweden,0.2451753,Jobs_and_Education,Japan,Sweden
BMW N57 is developed by,Triumph,0.1261361,Autos_and_Vehicles,BMW,Triumph
"Apple Wireless Mouse, a product created by",IBM,0.23775789,Computers_and_Electronics,Apple,IBM
"Volvo 200 Series, produced by",Chrysler,0.41775468,Autos_and_Vehicles,Volvo,Chrysler
NBC Nightly News debuted on,CNN,0.28206724,News,NBC,CNN
"BMW N53, developed by",Ferrari,0.38490492,Autos_and_Vehicles,BMW,Ferrari
"Ferrari F40, produced by",Boeing,0.32310277,Autos_and_Vehicles,Ferrari,Boeing
Hirak Rajar Deshe was created in the country of,Philippines,0.1529114,Business_and_Industrial,India,Philippines
Omar Khayyám follows the religion of,Christianity,0.25680226,Arts_and_Entertainment,Islam,Islam
"Google Earth, a product created by",Sony,0.23485057,Online_Communities,Google,Sony
IBM Rational Automation Framework was developed by,Sega,0.11733969,Computers_and_Electronics,IBM,Sega
"iPhone 8 Plus, created by",Nissan,0.19301228,Computers_and_Electronics,Apple,Nissan
Wellington and Manawatu Railway Company is headquartered in,Berlin,0.06770885,Travel_and_Transportation,Wellington,Berlin
Canada is located in the country of,Netherlands,0.2565082,Jobs_and_Education,Canada,Belgium
Boeing 717 is produced by,Honda,0.22746834,Business_and_Industrial,Boeing,Honda
Sky Sports F1 is owned by,BBC,0.17324117,Sports,Sky,BBC
Dodge EV is produced by,Nokia,-0.02550438,Autos_and_Vehicles,Dodge,Nokia
"Ferrari F2012, developed by",Fiat,0.44729772,Autos_and_Vehicles,Ferrari,Fiat
Windows 3.1 was created by,Sega,0.14738193,Computers_and_Electronics,Microsoft,Sega
"Windows 98, created by",Sony,0.21351244,Computers_and_Electronics,Microsoft,Sony
"Protected Buildings Register in Finland ID, in",Russia,0.13132545,Law_and_Government,Finland,Russia
Nissan S30 is created by,McLaren,0.28027546,Autos_and_Vehicles,Nissan,McLaren
ASP.NET MVC Framework is created by,IBM,0.0401851,Computers_and_Electronics,Microsoft,Microsoft
The IEC Dictionary of the Catalan Language was written in,French,0.21681225,Jobs_and_Education,Catalan,French
Australian Broadcasting Corporation's headquarters are in,Seattle,0.25532755,News,Sydney,Seattle
Chevrolet El Camino (3rd generation) is produced by,Toyota,0.36149117,Autos_and_Vehicles,Chevrolet,Toyota
Windows Embedded Compact is developed by,Intel,0.2429049,Computers_and_Electronics,Microsoft,Intel
Sony Alpha 99 is produced by,Fiat,0.19711797,Computers_and_Electronics,Sony,Fiat
Barry Bonds is a professional,basketball,0.20617495,Sports,baseball,baseball
Airbus A321 is produced by,Renault,0.2842965,Autos_and_Vehicles,Airbus,Renault
Giuliano Vassalli has a citizenship from,Denmark,0.10130861,Law_and_Government,Italy,Denmark
Seemabaddha was created in the country of,Philippines,0.2326326,Business_and_Industrial,India,Philippines
Nissan Skyline GT-R is produced by,IBM,0.19825271,Autos_and_Vehicles,Nissan,IBM
BMW M30 is created by,Iran,0.046049085,Autos_and_Vehicles,BMW,Iran
"Rasul Gamzatov, who has a citizenship from",Norway,0.22833142,Law_and_Government,Russia,Norway
"IBM Lotus Web Content Management, a product developed by",Google,0.2542471,Computers_and_Electronics,IBM,Google
"BMW N47, created by",Toyota,0.4354897,Autos_and_Vehicles,BMW,Toyota
The native language of Montesquieu is,Georgian,0.23801014,Jobs_and_Education,French,Georgian
"Adobe Premiere Pro, a product developed by",Apple,0.31849223,Computers_and_Electronics,Adobe,Apple
"Ichiro Suzuki, who holds a citizenship from",Norway,0.17148727,Sports,Japan,Norway
